instance,settings,m,n,value,time,nIter,best_iter,improv_count
15-10-1891798,Memetic_MPX_1099666,15,10,1869.0,1024001.0,510719,510719,510720
5-25-1110588,Memetic-LS_MMX_1881515,5,25,2391.0,1024001.0,2052016,2052016,2052017
10-40-1110588,Memetic-LS_MMX_1287823,10,40,3047.0,1024005.0,781373,781373,781374
5-25-1110588,Memetic-LS_MPX_1099666,5,25,2346.0,1024001.0,1719574,1719574,1719575
20-10-1917698,Memetic_MPX_1099666,20,10,1769.0,1024001.0,356703,356703,356704
10-25-1110588,Memetic_MMX_1881515,10,25,2797.0,1024004.0,226374,226374,226375
25-25-1917698,Memetic_MMX_1881515,25,25,2724.0,1024003.0,148144,148144,148145
25-10-1917698,Memetic-LS_MMX_1881515,25,10,1849.0,1024001.0,2052195,2052195,2052196
15-25-1891798,Memetic_MMX_1881515,15,25,2564.0,1024007.0,208159,208159,208160
10-10-1917698,Memetic_MPX_1881515,10,10,1947.0,1024001.0,655627,655627,655628
25-10-1767920,Memetic_MPX_1881515,25,10,1843.0,1024002.0,308812,308812,308813
5-10-1110588,Memetic_MPX_1881515,5,10,1948.0,1024001.0,1155027,1155027,1155028
15-10-1762875,Memetic_MMX_1287823,15,10,2028.0,1024002.0,454511,454511,454512
15-40-1891798,Memetic-LS_MPX_1287823,15,40,2773.0,1024004.0,619719,619719,619720
10-10-1767920,Memetic-LS_MMX_1099666,10,10,1680.0,1024001.0,4215969,4215969,4215970
10-25-1767920,Memetic-LS_MMX_1287823,10,25,2346.0,1024002.0,1589165,1589165,1589166
10-25-1110588,Memetic-LS_MMX_1099666,10,25,2703.0,1024001.0,1447368,1447368,1447369
25-25-1891798,Memetic-LS_MMX_1287823,25,25,2515.0,1024001.0,1095031,1095031,1095032
10-10-1767920,Memetic-LS_MPX_1287823,10,10,1665.0,1024001.0,2982966,2982966,2982967
5-10-1110588,Memetic-LS_MPX_1099666,5,10,1880.0,1024001.0,5538822,5538822,5538823
15-25-1891798,Memetic_MMX_1287823,15,25,2538.0,1024001.0,206613,206613,206614
15-10-1891798,Memetic-LS_MMX_1287823,15,10,1859.0,1024001.0,3260791,3260791,3260792
25-10-1767920,Memetic-LS_MMX_1099666,25,10,2056.0,1024001.0,2139154,2139154,2139155
10-40-1891798,Memetic_MMX_1287823,10,40,3406.0,1024008.0,106432,106432,106433
15-25-1767920,Memetic_MPX_1881515,15,25,2725.0,1024001.0,195481,195481,195482
15-10-1891798,Memetic_MMX_1881515,15,10,2033.0,1024001.0,577490,577490,577491
20-25-1762875,Memetic_MPX_1287823,20,25,2476.0,1024006.0,170205,170205,170206
25-10-1917698,Memetic_MMX_1099666,25,10,2020.0,1024003.0,360898,360898,360899
10-40-1891798,Memetic-LS_MPX_1881515,10,40,2998.0,1024001.0,654648,654648,654649
15-40-1767920,Memetic-LS_MPX_1287823,15,40,2630.0,1024012.0,703886,703886,703887
10-40-1110588,Memetic_MPX_1099666,10,40,3199.0,1024006.0,109037,109037,109038
25-10-1762875,Memetic_MPX_1099666,25,10,1641.0,1024004.0,267278,267278,267279
15-40-1767920,Memetic-LS_MMX_1099666,15,40,2901.0,1024003.0,747595,747595,747596
5-10-1762875,Memetic_MPX_1881515,5,10,1911.0,1024001.0,1089740,1089740,1089741
25-25-1110588,Memetic-LS_MPX_1287823,25,25,2129.0,1024001.0,829233,829233,829234
25-10-1891798,Memetic_MMX_1881515,25,10,1889.0,1024002.0,380787,380787,380788
15-25-1917698,Memetic_MMX_1881515,15,25,2610.0,1024004.0,194669,194669,194670
5-10-1767920,Memetic_MMX_1287823,5,10,1739.0,1024004.0,1001826,1001826,1001827
25-25-1110588,Memetic_MPX_1099666,25,25,2408.0,1024001.0,151167,151167,151168
10-40-1767920,Memetic_MPX_1287823,10,40,3484.0,1024005.0,114091,114091,114092
25-25-1762875,Memetic-LS_MPX_1881515,25,25,2179.0,1024001.0,788676,788676,788677
15-25-1762875,Memetic-LS_MPX_1287823,15,25,2374.0,1024001.0,1147350,1147350,1147351
20-25-1767920,Memetic_MMX_1287823,20,25,2716.0,1024002.0,174459,174459,174460
15-10-1762875,Memetic-LS_MPX_1287823,15,10,1695.0,1024001.0,2083611,2083611,2083612
20-10-1767920,Memetic-LS_MPX_1287823,20,10,1714.0,1024001.0,1823578,1823578,1823579
25-10-1917698,Memetic_MPX_1099666,25,10,1655.0,1024003.0,373412,373412,373413
25-10-1917698,Memetic_MPX_1881515,25,10,1715.0,1024001.0,375595,375595,375596
10-40-1762875,Memetic-LS_MMX_1099666,10,40,3287.0,1024001.0,852305,852305,852306
25-25-1762875,Memetic-LS_MMX_1099666,25,25,2693.0,1024005.0,1019293,1019293,1019294
20-25-1767920,Memetic_MMX_1881515,20,25,2740.0,1024002.0,182350,182350,182351
5-40-1762875,Memetic_MMX_1287823,5,40,3706.0,1024004.0,118942,118942,118943
20-25-1891798,Memetic-LS_MMX_1287823,20,25,2600.0,1024001.0,1192063,1192063,1192064
10-40-1917698,Memetic_MPX_1881515,10,40,3521.0,1024015.0,110197,110197,110198
10-25-1917698,Memetic_MPX_1287823,10,25,2604.0,1024002.0,219723,219723,219724
20-10-1917698,Memetic_MMX_1881515,20,10,1942.0,1024001.0,318983,318983,318984
25-10-1762875,Memetic-LS_MMX_1881515,25,10,1912.0,1024001.0,1904936,1904936,1904937
20-25-1917698,Memetic_MPX_1881515,20,25,2417.0,1024011.0,168514,168514,168515
25-25-1767920,Memetic-LS_MPX_1881515,25,25,1947.0,1024002.0,814815,814815,814816
20-10-1767920,Memetic_MPX_1287823,20,10,1790.0,1024001.0,402881,402881,402882
10-10-1917698,Memetic-LS_MMX_1099666,10,10,1955.0,1024001.0,4003319,4003319,4003320
20-25-1762875,Memetic-LS_MPX_1099666,20,25,2095.0,1024001.0,977221,977221,977222
5-10-1762875,Memetic_MMX_1099666,5,10,1910.0,1024001.0,1037184,1037184,1037185
10-40-1891798,Memetic-LS_MPX_1099666,10,40,3054.0,1024003.0,752133,752133,752134
25-25-1767920,Memetic_MMX_1881515,25,25,2656.0,1024002.0,164435,164435,164436
10-25-1917698,Memetic-LS_MPX_1287823,10,25,2420.0,1024001.0,1202262,1202262,1202263
5-10-1762875,Memetic-LS_MMX_1287823,5,10,1910.0,1024001.0,6220332,6220332,6220333
25-10-1891798,Memetic-LS_MPX_1099666,25,10,1146.0,1024001.0,1795995,1795995,1795996
10-10-1110588,Memetic_MMX_1287823,10,10,1849.0,1024002.0,667249,667249,667250
10-25-1917698,Memetic_MPX_1881515,10,25,2637.0,1024008.0,230873,230873,230874
5-25-1767920,Memetic-LS_MPX_1287823,5,25,2451.0,1024001.0,1849965,1849965,1849966
15-40-1917698,Memetic-LS_MMX_1881515,15,40,3066.0,1024001.0,750867,750867,750868
10-40-1762875,Memetic_MPX_1881515,10,40,3509.0,1024006.0,112417,112417,112418
20-25-1917698,Memetic-LS_MPX_1099666,20,25,2171.0,1024001.0,938722,938722,938723
5-10-1891798,Memetic-LS_MPX_1287823,5,10,1927.0,1024001.0,5521948,5521948,5521949
20-25-1762875,Memetic_MMX_1881515,20,25,2634.0,1024001.0,167680,167680,167681
10-10-1110588,Memetic-LS_MMX_1099666,10,10,1745.0,1024001.0,4048894,4048894,4048895
20-10-1917698,Memetic-LS_MPX_1881515,20,10,1750.0,1024001.0,1840481,1840481,1840482
25-25-1767920,Memetic-LS_MMX_1099666,25,25,2460.0,1024001.0,1063507,1063507,1063508
25-10-1767920,Memetic-LS_MPX_1099666,25,10,1579.0,1024001.0,1650578,1650578,1650579
5-10-1767920,Memetic-LS_MMX_1099666,5,10,1715.0,1024001.0,5193505,5193505,5193506
10-40-1762875,Memetic_MMX_1881515,10,40,3576.0,1024006.0,108187,108187,108188
15-25-1917698,Memetic-LS_MPX_1287823,15,25,2313.0,1024001.0,1103224,1103224,1103225
10-10-1762875,Memetic_MMX_1881515,10,10,2098.0,1024001.0,711368,711368,711369
20-10-1891798,Memetic_MPX_1099666,20,10,2085.0,1024001.0,508010,508010,508011
25-25-1917698,Memetic-LS_MMX_1287823,25,25,2567.0,1024001.0,1060444,1060444,1060445
15-10-1891798,Memetic-LS_MPX_1881515,15,10,1703.0,1024001.0,2261204,2261204,2261205
5-10-1891798,Memetic_MMX_1881515,5,10,1943.0,1024001.0,793650,793650,793651
5-10-1917698,Memetic_MPX_1287823,5,10,1826.0,1024001.0,945206,945206,945207
5-40-1110588,Memetic-LS_MMX_1099666,5,40,3222.0,1024001.0,934932,934932,934933
20-10-1891798,Memetic-LS_MPX_1287823,20,10,1871.0,1024001.0,1756883,1756883,1756884
25-10-1917698,Memetic_MMX_1881515,25,10,2001.0,1024002.0,351479,351479,351480
10-10-1767920,Memetic_MMX_1881515,10,10,1794.0,1024001.0,705966,705966,705967
5-40-1767920,Memetic_MMX_1099666,5,40,3182.0,1024005.0,136420,136420,136421
25-10-1767920,Memetic_MMX_1881515,25,10,2160.0,1024002.0,354789,354789,354790
15-40-1917698,Memetic_MMX_1881515,15,40,3267.0,1024004.0,111304,111304,111305
10-10-1891798,Memetic_MPX_1099666,10,10,2117.0,1024001.0,790380,790380,790381
25-10-1110588,Memetic-LS_MMX_1881515,25,10,1961.0,1024001.0,2059136,2059136,2059137
10-25-1110588,Memetic_MMX_1099666,10,25,2830.0,1024005.0,234378,234378,234379
5-10-1110588,Memetic-LS_MPX_1287823,5,10,1861.0,1024001.0,5122611,5122611,5122612
15-40-1110588,Memetic-LS_MPX_1287823,15,40,2904.0,1024001.0,685138,685138,685139
15-40-1110588,Memetic_MMX_1099666,15,40,3460.0,1024035.0,101583,101583,101584
20-25-1891798,Memetic-LS_MPX_1287823,20,25,2190.0,1024005.0,979258,979258,979259
5-40-1891798,Memetic-LS_MMX_1881515,5,40,3062.0,1024001.0,880327,880327,880328
15-25-1917698,Memetic_MPX_1881515,15,25,2427.0,1024012.0,211338,211338,211339
25-10-1891798,Memetic-LS_MPX_1881515,25,10,1285.0,1024001.0,1758796,1758796,1758797
20-10-1917698,Memetic-LS_MPX_1287823,20,10,1617.0,1024001.0,1777111,1777111,1777112
25-25-1917698,Memetic_MPX_1099666,25,25,2268.0,1024003.0,131696,131696,131697
5-10-1917698,Memetic_MPX_1881515,5,10,1823.0,1024001.0,1056006,1056006,1056007
10-10-1767920,Memetic_MMX_1287823,10,10,1803.0,1024001.0,724678,724678,724679
15-25-1891798,Memetic_MPX_1881515,15,25,2392.0,1024001.0,224171,224171,224172
25-10-1767920,Memetic-LS_MPX_1881515,25,10,1409.0,1024001.0,1724619,1724619,1724620
15-10-1917698,Memetic-LS_MPX_1881515,15,10,1608.0,1024001.0,2644085,2644085,2644086
15-25-1762875,Memetic_MMX_1099666,15,25,2762.0,1024002.0,201227,201227,201228
15-25-1767920,Memetic_MMX_1099666,15,25,2817.0,1024004.0,190897,190897,190898
25-10-1917698,Memetic-LS_MPX_1881515,25,10,1544.0,1024001.0,1599865,1599865,1599866
10-10-1917698,Memetic_MPX_1099666,10,10,1904.0,1024001.0,688017,688017,688018
20-10-1917698,Memetic-LS_MMX_1099666,20,10,1872.0,1024001.0,2144435,2144435,2144436
5-10-1917698,Memetic-LS_MMX_1881515,5,10,1792.0,1024001.0,5774905,5774905,5774906
10-40-1110588,Memetic-LS_MMX_1099666,10,40,2930.0,1024001.0,832538,832538,832539
5-10-1110588,Memetic-LS_MMX_1287823,5,10,1924.0,1024001.0,6104205,6104205,6104206
15-25-1762875,Memetic_MPX_1881515,15,25,2581.0,1024012.0,222904,222904,222905
5-25-1917698,Memetic_MMX_1287823,5,25,2803.0,1024002.0,340681,340681,340682
10-25-1762875,Memetic-LS_MPX_1099666,10,25,2616.0,1024001.0,1092121,1092121,1092122
5-10-1767920,Memetic_MPX_1287823,5,10,1738.0,1024001.0,1012159,1012159,1012160
10-25-1767920,Memetic_MMX_1099666,10,25,2528.0,1024003.0,257076,257076,257077
15-10-1110588,Memetic-LS_MPX_1881515,15,10,1848.0,1024001.0,2223693,2223693,2223694
10-10-1762875,Memetic-LS_MMX_1287823,10,10,2033.0,1024001.0,4628306,4628306,4628307
20-10-1891798,Memetic-LS_MMX_1881515,20,10,2106.0,1024001.0,2416244,2416244,2416245
5-40-1762875,Memetic-LS_MPX_1881515,5,40,3419.0,1024001.0,864390,864390,864391
5-40-1917698,Memetic_MMX_1287823,5,40,3599.0,1024012.0,136702,136702,136703
15-25-1762875,Memetic_MMX_1881515,15,25,2738.0,1024002.0,209316,209316,209317
10-25-1767920,Memetic-LS_MPX_1099666,10,25,2269.0,1024001.0,1401781,1401781,1401782
10-40-1917698,Memetic_MMX_1287823,10,40,3555.0,1024003.0,126658,126658,126659
20-10-1891798,Memetic_MPX_1881515,20,10,2002.0,1024003.0,468148,468148,468149
25-25-1891798,Memetic_MMX_1099666,25,25,2903.0,1024004.0,160634,160634,160635
5-40-1917698,Memetic-LS_MMX_1287823,5,40,3395.0,1024001.0,972395,972395,972396
20-25-1917698,Memetic_MPX_1287823,20,25,2441.0,1024003.0,165639,165639,165640
25-10-1891798,Memetic-LS_MMX_1099666,25,10,1828.0,1024001.0,2140225,2140225,2140226
15-25-1917698,Memetic_MPX_1099666,15,25,2418.0,1024002.0,194365,194365,194366
25-25-1917698,Memetic-LS_MPX_1099666,25,25,1343.0,1024001.0,956614,956614,956615
15-40-1767920,Memetic-LS_MMX_1881515,15,40,2836.0,1024001.0,744627,744627,744628
5-10-1917698,Memetic-LS_MMX_1099666,5,10,1711.0,1024001.0,5787241,5787241,5787242
15-25-1891798,Memetic-LS_MPX_1287823,15,25,2147.0,1024005.0,1053252,1053252,1053253
5-40-1917698,Memetic-LS_MPX_1881515,5,40,3322.0,1024006.0,861835,861835,861836
20-25-1110588,Memetic_MPX_1099666,20,25,2002.0,1024001.0,156903,156903,156904
10-25-1767920,Memetic-LS_MMX_1881515,10,25,2378.0,1024001.0,1555274,1555274,1555275
10-40-1917698,Memetic-LS_MMX_1099666,10,40,3369.0,1024003.0,830019,830019,830020
20-25-1891798,Memetic-LS_MPX_1099666,20,25,2199.0,1024001.0,1005033,1005033,1005034
15-25-1762875,Memetic-LS_MMX_1881515,15,25,2598.0,1024003.0,1298757,1298757,1298758
20-10-1762875,Memetic_MMX_1881515,20,10,2066.0,1024003.0,438465,438465,438466
15-40-1891798,Memetic_MMX_1099666,15,40,3261.0,1024011.0,95225,95225,95226
5-25-1767920,Memetic-LS_MPX_1881515,5,25,2560.0,1024001.0,2153997,2153997,2153998
15-40-1110588,Memetic_MPX_1881515,15,40,3279.0,1024009.0,101930,101930,101931
15-10-1917698,Memetic-LS_MPX_1287823,15,10,1634.0,1024001.0,2637237,2637237,2637238
20-10-1762875,Memetic-LS_MPX_1881515,20,10,1617.0,1024001.0,1740543,1740543,1740544
20-10-1767920,Memetic-LS_MPX_1881515,20,10,1709.0,1024001.0,1862595,1862595,1862596
10-40-1891798,Memetic-LS_MMX_1287823,10,40,3194.0,1024009.0,811850,811850,811851
10-10-1762875,Memetic_MMX_1287823,10,10,2090.0,1024001.0,706714,706714,706715
20-25-1110588,Memetic-LS_MMX_1287823,20,25,2105.0,1024001.0,1230100,1230100,1230101
10-40-1762875,Memetic_MPX_1099666,10,40,3424.0,1024006.0,114141,114141,114142
15-25-1917698,Memetic-LS_MPX_1881515,15,25,2256.0,1024001.0,1046152,1046152,1046153
10-25-1917698,Memetic_MMX_1099666,10,25,2718.0,1024005.0,221957,221957,221958
25-10-1767920,Memetic_MMX_1287823,25,10,2185.0,1024001.0,386449,386449,386450
15-10-1110588,Memetic_MMX_1099666,15,10,1987.0,1024002.0,467098,467098,467099
10-40-1110588,Memetic_MPX_1287823,10,40,3248.0,1024002.0,103676,103676,103677
5-40-1891798,Memetic-LS_MPX_1287823,5,40,3156.0,1024001.0,724770,724770,724771
25-25-1917698,Memetic-LS_MPX_1881515,25,25,1481.0,1024004.0,936897,936897,936898
15-25-1110588,Memetic_MPX_1099666,15,25,2884.0,1024002.0,199613,199613,199614
5-10-1917698,Memetic_MMX_1287823,5,10,1826.0,1024002.0,888385,888385,888386
10-10-1110588,Memetic_MMX_1881515,10,10,1849.0,1024003.0,672623,672623,672624
25-25-1917698,Memetic-LS_MMX_1099666,25,25,2631.0,1024004.0,1052049,1052049,1052050
10-10-1110588,Memetic-LS_MMX_1287823,10,10,1800.0,1024001.0,4255180,4255180,4255181
5-40-1762875,Memetic-LS_MMX_1881515,5,40,3389.0,1024003.0,964699,964699,964700
5-10-1110588,Memetic-LS_MPX_1881515,5,10,1916.0,1024001.0,4927837,4927837,4927838
20-25-1762875,Memetic-LS_MPX_1881515,20,25,2131.0,1024001.0,952947,952947,952948
10-25-1891798,Memetic_MPX_1881515,10,25,2601.0,1024003.0,257667,257667,257668
20-10-1917698,Memetic_MPX_1881515,20,10,1764.0,1024002.0,359279,359279,359280
15-10-1767920,Memetic_MMX_1099666,15,10,1976.0,1024001.0,499255,499255,499256
10-25-1767920,Memetic-LS_MMX_1099666,10,25,2360.0,1024001.0,1540615,1540615,1540616
25-25-1891798,Memetic_MPX_1881515,25,25,2331.0,1024002.0,134164,134164,134165
10-40-1891798,Memetic-LS_MPX_1287823,10,40,2890.0,1024006.0,767158,767158,767159
25-25-1762875,Memetic-LS_MPX_1099666,25,25,2024.0,1024003.0,862045,862045,862046
20-10-1110588,Memetic_MMX_1287823,20,10,1968.0,1024002.0,380599,380599,380600
5-25-1110588,Memetic_MMX_1287823,5,25,2509.0,1024002.0,334851,334851,334852
15-10-1110588,Memetic-LS_MPX_1099666,15,10,1898.0,1024001.0,2468157,2468157,2468158
5-25-1891798,Memetic-LS_MMX_1287823,5,25,2724.0,1024001.0,1962526,1962526,1962527
25-10-1762875,Memetic-LS_MPX_1287823,25,10,1468.0,1024001.0,1653598,1653598,1653599
20-10-1891798,Memetic-LS_MMX_1099666,20,10,2086.0,1024001.0,2382442,2382442,2382443
15-25-1110588,Memetic-LS_MMX_1099666,15,25,2834.0,1024003.0,1257079,1257079,1257080
20-10-1110588,Memetic-LS_MMX_1099666,20,10,1913.0,1024001.0,2238645,2238645,2238646
5-10-1891798,Memetic_MMX_1287823,5,10,1943.0,1024001.0,751526,751526,751527
15-40-1762875,Memetic_MPX_1881515,15,40,3174.0,1024001.0,91810,91810,91811
5-25-1767920,Memetic_MPX_1881515,5,25,2648.0,1024003.0,396479,396479,396480
10-25-1917698,Memetic_MMX_1287823,10,25,2722.0,1024004.0,220233,220233,220234
15-10-1917698,Memetic_MMX_1099666,15,10,1853.0,1024001.0,574951,574951,574952
5-10-1917698,Memetic-LS_MMX_1287823,5,10,1776.0,1024001.0,5740221,5740221,5740222
15-25-1767920,Memetic_MMX_1881515,15,25,2849.0,1024004.0,193324,193324,193325
5-40-1110588,Memetic_MPX_1881515,5,40,3415.0,1024005.0,155058,155058,155059
5-40-1110588,Memetic_MMX_1099666,5,40,3410.0,1024005.0,148226,148226,148227
15-10-1762875,Memetic_MPX_1881515,15,10,1912.0,1024003.0,466733,466733,466734
15-25-1917698,Memetic-LS_MMX_1881515,15,25,2413.0,1024001.0,1288992,1288992,1288993
5-25-1891798,Memetic_MPX_1881515,5,25,2808.0,1024005.0,301604,301604,301605
15-40-1891798,Memetic-LS_MMX_1881515,15,40,2991.0,1024001.0,704504,704504,704505
25-10-1891798,Memetic_MPX_1287823,25,10,1596.0,1024003.0,286239,286239,286240
10-40-1110588,Memetic-LS_MPX_1099666,10,40,2902.0,1024001.0,651818,651818,651819
