instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
mm-20-25-1110588,Memetic-LS_MMX,20.0,25.0,4153.333333333333,1002.3333333333334,1155.6666666666667,1155.6666666666667,1156.6666666666667
mm-10-10-1762875,Memetic-LS_MMX,10.0,10.0,2223.6666666666665,1001.0,4043.6666666666665,4043.6666666666665,4044.6666666666665
mm-25-25-1762875,Memetic-LS_MPX,25.0,25.0,3098.0,1002.0,1016.6666666666666,1016.6666666666666,1017.6666666666666
mm-15-25-1110588,Memetic_MPX,15.0,25.0,5702.666666666667,1004.0,112.66666666666667,112.66666666666667,113.66666666666667
mm-5-40-1110588,Memetic_MPX,5.0,40.0,6798.333333333333,1020.0,69.33333333333333,69.33333333333333,70.33333333333333
mm-10-10-1917698,Memetic_MPX,10.0,10.0,3277.6666666666665,1001.3333333333334,400.6666666666667,400.6666666666667,401.6666666666667
mm-15-25-1110588,Memetic-LS_MPX,15.0,25.0,3971.0,1001.0,1185.6666666666667,1185.6666666666667,1186.6666666666667
mm-25-25-1110588,Memetic-LS_MPX,25.0,25.0,2709.0,1001.3333333333334,1156.0,1156.0,1157.0
mm-15-40-1767920,Memetic-LS_MPX,15.0,40.0,5235.0,1001.0,577.6666666666666,577.6666666666666,578.6666666666666
mm-10-25-1891798,Memetic-LS_MMX,10.0,25.0,5250.333333333333,1002.3333333333334,1456.3333333333333,1456.3333333333333,1457.3333333333333
mm-10-40-1110588,Memetic_MPX,10.0,40.0,6388.0,1007.6666666666666,77.33333333333333,77.33333333333333,78.33333333333333
mm-10-25-1891798,Memetic_MPX,10.0,25.0,5687.333333333333,1006.0,140.66666666666666,140.66666666666666,141.66666666666666
mm-15-10-1762875,Memetic-LS_MMX,15.0,10.0,2770.0,1001.0,2462.6666666666665,2462.6666666666665,2463.6666666666665
mm-15-25-1891798,Memetic_MMX,15.0,25.0,5686.0,1010.6666666666666,126.66666666666667,126.66666666666667,127.66666666666667
mm-5-40-1767920,Memetic-LS_MPX,5.0,40.0,5635.0,1002.0,542.6666666666666,542.6666666666666,543.6666666666666
mm-25-10-1891798,Memetic_MPX,25.0,10.0,4041.3333333333335,1005.0,204.66666666666666,204.66666666666666,205.66666666666666
mm-20-25-1917698,Memetic_MMX,20.0,25.0,5758.0,1010.6666666666666,86.0,86.0,87.0
mm-10-40-1891798,Memetic_MMX,10.0,40.0,6603.666666666667,1013.6666666666666,61.333333333333336,61.333333333333336,62.333333333333336
mm-10-10-1891798,Memetic_MMX,10.0,10.0,3329.3333333333335,1002.3333333333334,348.6666666666667,348.6666666666667,349.6666666666667
mm-10-25-1767920,Memetic-LS_MMX,10.0,25.0,4545.0,1001.6666666666666,1236.3333333333333,1236.3333333333333,1237.3333333333333
mm-5-10-1891798,Memetic_MPX,5.0,10.0,3106.3333333333335,1002.0,591.0,591.0,592.0
mm-15-40-1762875,Memetic-LS_MMX,15.0,40.0,5171.0,1002.3333333333334,752.6666666666666,752.6666666666666,753.6666666666666
mm-10-40-1767920,Memetic-LS_MMX,10.0,40.0,5313.666666666667,1001.0,702.6666666666666,702.6666666666666,703.6666666666666
mm-20-25-1762875,Memetic_MPX,20.0,25.0,5001.333333333333,1007.3333333333334,104.0,104.0,105.0
mm-15-10-1917698,Memetic-LS_MPX,15.0,10.0,2951.0,1001.0,2407.0,2407.0,2408.0
mm-15-40-1917698,Memetic-LS_MPX,15.0,40.0,5389.0,1004.6666666666666,521.3333333333334,521.3333333333334,522.3333333333334
mm-10-10-1762875,Memetic_MMX,10.0,10.0,2824.3333333333335,1002.6666666666666,429.0,429.0,430.0
mm-5-40-1767920,Memetic_MPX,5.0,40.0,6511.333333333333,1011.0,71.0,71.0,72.0
mm-15-25-1917698,Memetic-LS_MMX,15.0,25.0,4412.666666666667,1001.0,1189.0,1189.0,1190.0
mm-25-25-1110588,Memetic_MMX,25.0,25.0,6109.333333333333,1016.6666666666666,61.0,61.0,62.0
mm-15-10-1110588,Memetic_MMX,15.0,10.0,4008.3333333333335,1002.3333333333334,265.6666666666667,265.6666666666667,266.6666666666667
mm-5-25-1917698,Memetic-LS_MPX,5.0,25.0,3880.0,1001.3333333333334,1240.3333333333333,1240.3333333333333,1241.3333333333333
mm-20-10-1762875,Memetic_MPX,20.0,10.0,3584.3333333333335,1002.3333333333334,252.0,252.0,253.0
mm-5-40-1110588,Memetic-LS_MPX,5.0,40.0,5488.666666666667,1001.3333333333334,498.3333333333333,498.3333333333333,499.3333333333333
mm-20-10-1767920,Memetic_MMX,20.0,10.0,4322.666666666667,1006.0,181.66666666666666,181.66666666666666,182.66666666666666
