instance,setting,m,n,0.25s,0.5s,1.0s,2.0s,4.0s,8.0s,16.0s,32.0s,64.0s,128.0s,256.0s,512.0s,1024.0s,2048.0s
./instances/created-instances/mm-10-40-1917698.cdop,WS./settings/Memetic_MMX_1099666.config,10,40,0.8275862068965517,0.8433173923986912,0.846337780015102,0.8701233324943368,0.8798137427636546,0.9271331487540901,0.9346841177951171,0.9373269569594764,0.9633778001510194,0.9734457588723886,0.9747042537125598,0.9838912660458092,0.9799899320412786,0.9799899320412786
./instances/created-instances/mm-10-10-1762875.cdop,WS./settings/Memetic-LS_MMX_1881515.config,10,10,0.7328373351369631,0.7328373351369631,0.7490700033818058,0.7659790328035171,0.7693608386878593,0.8183970240108218,0.8559350693270207,0.8559350693270207,0.8650659452147447,0.8650659452147447,0.8894149475820088,0.8921203922894826,0.8921203922894826,0.8921203922894826
./instances/created-instances/mm-10-10-1917698.cdop,WS./settings/Memetic_MMX_1881515.config,10,10,0.9695037427224841,0.9695037427224841,0.9714444136401441,0.971721652342667,0.9769891876906016,0.9772664263931244,0.9778209037981702,0.9778209037981702,0.9786526199057388,1.0,1.0,1.0,1.0,1.0
./instances/created-instances/mm-10-25-1917698.cdop,WS./settings/Memetic-LS_MMX_1099666.config,10,25,0.6890892696122634,0.6890892696122634,0.6890892696122634,0.7116321009918846,0.7116321009918846,0.7130748422001804,0.7199278629395852,0.7199278629395852,0.7899008115419297,0.8402164111812443,0.8652840396753833,0.878449053201082,0.8815148782687106,0.8815148782687106
./instances/created-instances/mm-5-40-1917698.cdop,WS./settings/Memetic-LS_MMX_1881515.config,5,40,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7399685287175453,0.7399685287175453,0.7399685287175453,0.7399685287175453,0.7722265932336743,0.8067138735903489,0.8384474167322319,0.8434303697875688,0.8507736690270129,0.8507736690270129
./instances/created-instances/mm-25-10-1917698.cdop,WS./settings/Memetic-LS_MPX_1099666.config,25,10,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5703777335984096,0.5727634194831014,0.5727634194831014
./instances/created-instances/mm-15-40-1767920.cdop,WS./settings/Memetic_MPX_1099666.config,15,40,0.7348864994026284,0.7635603345280765,0.7891278375149343,0.7891278375149343,0.7891278375149343,0.8284348864994027,0.8535244922341697,0.9001194743130227,0.9010752688172043,0.9093189964157706,0.9093189964157706,0.9342891278375149,0.9342891278375149,0.9342891278375149
./instances/created-instances/mm-5-10-1891798.cdop,WS./settings/Memetic-LS_MMX_1881515.config,5,10,0.8414634146341463,0.8595997498436523,0.8824265165728581,0.9090056285178236,0.9090056285178236,0.9252657911194496,0.9277673545966229,0.9555972482801751,0.9555972482801751,0.9555972482801751,0.9555972482801751,0.9555972482801751,0.9555972482801751,0.9555972482801751
./instances/created-instances/mm-25-25-1762875.cdop,WS./settings/Memetic-LS_MPX_1287823.config,25,25,0.47904747177980517,0.47904747177980517,0.47904747177980517,0.47904747177980517,0.47904747177980517,0.47904747177980517,0.47904747177980517,0.47904747177980517,0.47904747177980517,0.47904747177980517,0.4929642801917427,0.4929642801917427,0.49729395391990106,0.49729395391990106
./instances/created-instances/mm-10-25-1110588.cdop,WS./settings/Memetic-LS_MMX_1287823.config,10,25,0.666941331575478,0.6773236651285431,0.6773236651285431,0.6990771259063941,0.722313777191826,0.7419248516809492,0.7495056031641397,0.7732366512854317,0.7732366512854317,0.8012524719841793,0.8340474620962426,0.8467369808833224,0.8544825313117996,0.8544825313117996
./instances/created-instances/mm-25-25-1110588.cdop,WS./settings/Memetic_MPX_1287823.config,25,25,0.7058503401360544,0.7227210884353742,0.7227210884353742,0.7598639455782313,0.7598639455782313,0.7598639455782313,0.7601360544217687,0.7601360544217687,0.7702040816326531,0.812108843537415,0.812108843537415,0.812108843537415,0.8149659863945579,0.8149659863945579
./instances/created-instances/mm-20-25-1917698.cdop,WS./settings/Memetic_MMX_1287823.config,20,25,0.8362804878048781,0.8810975609756098,0.9019817073170732,0.907469512195122,0.926829268292683,0.9359756097560976,0.9501524390243903,0.9557926829268293,0.9759146341463415,0.9810975609756097,0.9821646341463415,0.9832317073170732,0.9839939024390244,0.9839939024390244
./instances/created-instances/mm-20-10-1110588.cdop,WS./settings/Memetic-LS_MMX_1287823.config,20,10,0.5969942196531792,0.6094797687861272,0.6191907514450867,0.6191907514450867,0.6543352601156069,0.7193063583815029,0.7193063583815029,0.7421965317919075,0.76,0.7861271676300579,0.8208092485549133,0.8221965317919075,0.8221965317919075,0.8221965317919075
./instances/created-instances/mm-5-25-1762875.cdop,WS./settings/Memetic-LS_MMX_1099666.config,5,25,0.7793686389511817,0.7793686389511817,0.7793686389511817,0.8055890978092116,0.8366396411937209,0.8514749008107642,0.8523374159047783,0.8523374159047783,0.8525099189235812,0.8964981887183026,0.919268587200276,0.937381404174573,0.9401414524754184,0.9401414524754184
./instances/created-instances/mm-5-40-1891798.cdop,WS./settings/Memetic-LS_MMX_1287823.config,5,40,0.7232720039781203,0.7333416210840378,0.7333416210840378,0.7376926902038786,0.7376926902038786,0.7376926902038786,0.7376926902038786,0.7376926902038786,0.7376926902038786,0.7425410243659871,0.7539781203381403,0.7539781203381403,0.7596966683242168,0.7596966683242168
./instances/created-instances/mm-10-25-1767920.cdop,WS./settings/Memetic-LS_MMX_1287823.config,10,25,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7450491189770778,0.747699984406674,0.7637611102448152,0.768595041322314,0.7896460314985186,0.8130360205831904,0.8167784188367379,0.8437548729143927,0.8462498050834243,0.8462498050834243
./instances/created-instances/mm-10-25-1891798.cdop,WS./settings/Memetic-LS_MPX_1099666.config,10,25,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826
./instances/created-instances/mm-20-25-1891798.cdop,WS./settings/Memetic_MMX_1881515.config,20,25,0.8325439266615737,0.8768525592055004,0.8768525592055004,0.8768525592055004,0.8858670741023682,0.9237585943468296,0.946829640947288,0.9783040488922842,0.9830404889228419,0.9928189457601222,0.9928189457601222,0.9928189457601222,0.9928189457601222,0.9928189457601222
./instances/created-instances/mm-20-25-1917698.cdop,WS./settings/Memetic_MPX_1099666.config,20,25,0.7391768292682926,0.7586890243902439,0.7586890243902439,0.7586890243902439,0.8059451219512195,0.8059451219512195,0.8059451219512195,0.8059451219512195,0.8059451219512195,0.843140243902439,0.8435975609756098,0.8435975609756098,0.8435975609756098,0.8435975609756098
./instances/created-instances/mm-25-10-1917698.cdop,WS./settings/Memetic_MPX_1881515.config,25,10,0.7954274353876739,0.7954274353876739,0.7954274353876739,0.7954274353876739,0.7954274353876739,0.7954274353876739,0.7954274353876739,0.8196819085487077,0.8343936381709741,0.8409542743538767,0.841351888667992,0.8624254473161034,0.8624254473161034,0.8624254473161034
./instances/created-instances/mm-5-25-1917698.cdop,WS./settings/Memetic_MPX_1287823.config,5,25,0.889669578427649,0.9337257880744398,0.9504367641473604,0.9707557918723889,0.9840486137485758,0.9882263577668059,0.9912647170527915,0.9912647170527915,0.9912647170527915,0.9912647170527915,0.9912647170527915,0.9912647170527915,0.9973414356247626,0.9973414356247626
./instances/created-instances/mm-15-10-1917698.cdop,WS./settings/Memetic-LS_MMX_1099666.config,15,10,0.7185293401509618,0.7185293401509618,0.7216946676406136,0.7216946676406136,0.7533479425371318,0.7876795714633552,0.8195763330898466,0.8371073776479182,0.8575602629656683,0.8697345994643292,0.8697345994643292,0.9135622108595082,0.9218407596785975,0.9218407596785975
./instances/created-instances/mm-20-25-1762875.cdop,WS./settings/Memetic_MPX_1287823.config,20,25,0.743962091103638,0.743962091103638,0.743962091103638,0.7850810149801284,0.7850810149801284,0.7850810149801284,0.8191684500152858,0.8228370528890248,0.8268113726689086,0.8315499847141546,0.8315499847141546,0.835677162947111,0.8622745337817181,0.8622745337817181
./instances/created-instances/mm-25-25-1891798.cdop,WS./settings/Memetic-LS_MMX_1287823.config,25,25,0.31619800820152316,0.3312829525483304,0.36482132396016403,0.39806678383128297,0.45796719390743995,0.5146455770357352,0.5550673696543644,0.5620972466315173,0.594463971880492,0.6342999414176919,0.74502050380785,0.7889572349150556,0.8179554774458113,0.8179554774458113
./instances/created-instances/mm-10-25-1110588.cdop,WS./settings/Memetic-LS_MMX_1099666.config,10,25,0.6837508239947264,0.6845748187211602,0.6845748187211602,0.6845748187211602,0.7198417930125247,0.7274225444957152,0.7588991430454846,0.7626895187870798,0.7851021753460777,0.811305207646671,0.8259723137771918,0.8411338167435728,0.8571193144363876,0.8571193144363876
./instances/created-instances/mm-5-40-1891798.cdop,WS./settings/Memetic-LS_MMX_1099666.config,5,40,0.7355793137742417,0.7355793137742417,0.7355793137742417,0.7355793137742417,0.7473893585280955,0.7473893585280955,0.754226752859274,0.7641720537046246,0.7677772252610642,0.7677772252610642,0.7764793635007459,0.7863003480855296,0.7863003480855296,0.7863003480855296
./instances/created-instances/mm-5-40-1767920.cdop,WS./settings/Memetic_MPX_1099666.config,5,40,0.7903142709943328,0.7903142709943328,0.8292117465224111,0.8879443585780525,0.8879443585780525,0.9090674909840288,0.9556929417825863,0.9598145285935085,0.9602009273570324,0.9623905203503349,0.964064914992272,0.964064914992272,0.9683153013910355,0.9683153013910355
./instances/created-instances/mm-10-40-1762875.cdop,WS./settings/Memetic_MPX_1287823.config,10,40,0.7548156652634265,0.802653399668325,0.802653399668325,0.802653399668325,0.8068631202959561,0.8331419823957137,0.8730705447123358,0.9363439214185483,0.9497384870519199,0.9497384870519199,0.9582854955989284,0.9732108687332568,0.9732108687332568,0.9732108687332568
./instances/created-instances/mm-10-25-1891798.cdop,WS./settings/Memetic-LS_MMX_1099666.config,10,25,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8115628381511826,0.8200649250270521,0.8262482609367754,0.8262482609367754,0.8441799350749729,0.8441799350749729,0.8441799350749729,0.8542278559282733,0.8542278559282733
./instances/created-instances/mm-25-25-1767920.cdop,WS./settings/Memetic-LS_MMX_1287823.config,25,25,0.6262389867841409,0.6262389867841409,0.6262389867841409,0.6262389867841409,0.6262389867841409,0.6262389867841409,0.6449614537444934,0.6525330396475771,0.6704295154185022,0.6828193832599119,0.6936949339207048,0.7618392070484582,0.780148678414097,0.780148678414097
./instances/created-instances/mm-20-25-1767920.cdop,WS./settings/Memetic-LS_MMX_1881515.config,20,25,0.5617502726281353,0.5617502726281353,0.5640676117775354,0.5879225736095965,0.6301799345692476,0.6446292257360959,0.6530806979280261,0.6530806979280261,0.6706652126499455,0.700381679389313,0.7063794983642312,0.7508178844056707,0.7895310796074155,0.7895310796074155
./instances/created-instances/mm-5-40-1917698.cdop,WS./settings/Memetic-LS_MPX_1287823.config,5,40,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762,0.7391817466561762
./instances/created-instances/mm-25-10-1891798.cdop,WS./settings/Memetic-LS_MMX_1099666.config,25,10,0.511744966442953,0.5287099179716629,0.5296420581655481,0.5296420581655481,0.5505219985085756,0.5857568978374348,0.6314317673378076,0.6769202087994034,0.7203579418344519,0.7240865026099925,0.743661446681581,0.8063012677106637,0.831282624906786,0.831282624906786
./instances/created-instances/mm-10-25-1767920.cdop,WS./settings/Memetic_MMX_1881515.config,10,25,0.8428192733510058,0.8428192733510058,0.8548261344144706,0.8721347263371277,0.8925619834710744,0.9493216903165446,0.9614844846405738,0.9700608139716201,0.9727116794012163,0.9800405426477468,0.9800405426477468,0.9800405426477468,0.9800405426477468,0.9800405426477468
./instances/created-instances/mm-20-10-1762875.cdop,WS./settings/Memetic_MPX_1287823.config,20,10,0.7579745706000446,0.8010260985946911,0.8373856792326567,0.8373856792326567,0.8373856792326567,0.8373856792326567,0.8373856792326567,0.8373856792326567,0.8750836493419585,0.896497880883337,0.896497880883337,0.896497880883337,0.896497880883337,0.896497880883337
./instances/created-instances/mm-5-10-1767920.cdop,WS./settings/Memetic_MMX_1881515.config,5,10,0.9580996370834708,0.9580996370834708,0.9871329594193335,0.9914219729462224,0.9914219729462224,0.9947212141207522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./instances/created-instances/mm-25-10-1767920.cdop,WS./settings/Memetic_MMX_1881515.config,25,10,0.8895335862530686,0.8993528230305735,0.9147511716134792,0.923231421557688,0.923231421557688,0.923231421557688,0.9620620397232761,0.9620620397232761,0.9754519080562375,0.9852711448337425,0.9852711448337425,0.9852711448337425,0.9852711448337425,0.9852711448337425
./instances/created-instances/mm-25-25-1762875.cdop,WS./settings/Memetic-LS_MMX_1881515.config,25,25,0.5153858048554198,0.543374052883872,0.5705891448894387,0.5879078398020721,0.6083191588062471,0.6106386268749033,0.6250193289005721,0.6308953146745013,0.6497603216329055,0.6842430802535951,0.7089840729859286,0.7748569661357662,0.8102675119839183,0.8102675119839183
./instances/created-instances/mm-20-25-1762875.cdop,WS./settings/Memetic_MMX_1287823.config,20,25,0.8200856007337206,0.8743503515744421,0.8900947722409049,0.9056863344542954,0.9062977682665851,0.9191378783246713,0.9197493121369612,0.9382451849587282,0.971415469275451,0.9836441455212473,0.9874656068480587,0.9874656068480587,0.9874656068480587,0.9874656068480587
./instances/created-instances/mm-15-40-1762875.cdop,WS./settings/Memetic-LS_MMX_1287823.config,15,40,0.6821899736147757,0.6821899736147757,0.6821899736147757,0.6821899736147757,0.6821899736147757,0.6821899736147757,0.6821899736147757,0.6821899736147757,0.6928759894459103,0.7187335092348285,0.7527704485488127,0.787598944591029,0.7952506596306068,0.7952506596306068
./instances/created-instances/mm-15-40-1110588.cdop,WS./settings/Memetic_MMX_1287823.config,15,40,0.7621564482029598,0.7848249941273198,0.8114869626497534,0.837326755931407,0.9023960535588442,0.935635424007517,0.9749823819591261,0.9749823819591261,0.9752172891707775,0.9752172891707775,0.9752172891707775,0.9752172891707775,0.9911909795630726,0.9911909795630726
./instances/created-instances/mm-25-10-1917698.cdop,WS./settings/Memetic_MPX_1287823.config,25,10,0.7540755467196819,0.7685884691848907,0.7685884691848907,0.8278330019880715,0.8278330019880715,0.8278330019880715,0.8278330019880715,0.8278330019880715,0.8326043737574552,0.8326043737574552,0.8326043737574552,0.8510934393638171,0.8654075546719682,0.8654075546719682
./instances/created-instances/mm-5-40-1767920.cdop,WS./settings/Memetic_MMX_1287823.config,5,40,0.7881246780010304,0.8086038124678001,0.8500772797527048,0.8508500772797527,0.8914219474497682,0.9133178773827924,0.9299330242143226,0.9299330242143226,0.9448737764039155,0.9535033487892839,0.9535033487892839,0.9536321483771252,0.9455177743431221,0.9455177743431221
./instances/created-instances/mm-20-10-1891798.cdop,WS./settings/Memetic-LS_MMX_1881515.config,20,10,0.6375598086124402,0.6375598086124402,0.6375598086124402,0.6539074960127592,0.6684609250398724,0.6756379585326954,0.7117224880382775,0.7507974481658692,0.7599681020733652,0.7836921850079744,0.8016347687400319,0.8243620414673046,0.8506778309409888,0.8506778309409888
./instances/created-instances/mm-10-40-1767920.cdop,WS./settings/Memetic-LS_MPX_1287823.config,10,40,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868,0.6706246773360868
./instances/created-instances/mm-10-40-1110588.cdop,WS./settings/Memetic-LS_MPX_1287823.config,10,40,0.6396255850234009,0.6396255850234009,0.6396255850234009,0.6396255850234009,0.6396255850234009,0.6396255850234009,0.6396255850234009,0.6441757670306812,0.6693967758710349,0.6885075403016121,0.7128185127405097,0.7414196567862714,0.7414196567862714,0.7414196567862714
./instances/created-instances/mm-25-25-1762875.cdop,WS./settings/Memetic_MMX_1881515.config,25,25,0.7815061079325808,0.8172259161898872,0.8513994124014226,0.8882016390907685,0.9014999226843977,0.9209834544611103,0.9579403123550333,0.9627338796969228,0.9627338796969228,0.9627338796969228,0.9627338796969228,0.9925777021803,1.0,1.0
./instances/created-instances/mm-5-25-1891798.cdop,WS./settings/Memetic_MMX_1287823.config,5,25,0.8946277097078228,0.9146088595664468,0.9264844486333648,0.9587181903864279,0.9651272384542884,0.9760603204524034,0.9779453345900094,0.9922714420358153,0.9945334590009425,0.9945334590009425,0.9945334590009425,0.9945334590009425,0.9945334590009425,0.9945334590009425
./instances/created-instances/mm-15-10-1891798.cdop,WS./settings/Memetic-LS_MMX_1287823.config,15,10,0.7036713286713286,0.7036713286713286,0.7139423076923077,0.7395104895104895,0.7749125874125874,0.7749125874125874,0.7766608391608392,0.7886800699300699,0.847465034965035,0.9047202797202797,0.9047202797202797,0.920236013986014,0.9320367132867133,0.9320367132867133
./instances/created-instances/mm-10-40-1110588.cdop,WS./settings/Memetic_MPX_1099666.config,10,40,0.7682007280291212,0.7724908996359854,0.8338533541341654,0.9013260530421217,0.9118564742589703,0.9118564742589703,0.9309672386895476,0.9309672386895476,0.9309672386895476,0.9359074362974519,0.9359074362974519,0.9359074362974519,0.9431877275091004,0.9431877275091004
./instances/created-instances/mm-5-25-1891798.cdop,WS./settings/Memetic_MMX_1099666.config,5,25,0.893119698397738,0.931573986804901,0.931573986804901,0.931573986804901,0.931573986804901,0.9409990574929312,0.9409990574929312,0.9587181903864279,0.9587181903864279,0.9673892554194157,0.980018850141376,0.9864278982092366,0.9864278982092366,0.9864278982092366
./instances/created-instances/mm-25-10-1762875.cdop,WS./settings/Memetic-LS_MPX_1881515.config,25,10,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816,0.5652506697282816
./instances/created-instances/mm-5-25-1762875.cdop,WS./settings/Memetic_MPX_1287823.config,5,25,0.865792651371399,0.9009832672071761,0.9085734000345006,0.9085734000345006,0.9125409694669657,0.9135759875797826,0.9227186475763326,0.9227186475763326,0.9227186475763326,0.9227186475763326,0.9610143177505607,0.9642918751078143,0.9642918751078143,0.9642918751078143
./instances/created-instances/mm-15-10-1767920.cdop,WS./settings/Memetic-LS_MPX_1881515.config,15,10,0.6769796624837733,0.6769796624837733,0.6769796624837733,0.6769796624837733,0.6769796624837733,0.6769796624837733,0.6769796624837733,0.6793595845954132,0.687797490263955,0.687797490263955,0.687797490263955,0.699048031155344,0.699048031155344,0.699048031155344
./instances/created-instances/mm-10-10-1891798.cdop,WS./settings/Memetic-LS_MPX_1099666.config,10,10,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.9024110218140069,0.939150401836969,0.939150401836969
./instances/created-instances/mm-20-10-1891798.cdop,WS./settings/Memetic_MMX_1881515.config,20,10,0.8552631578947368,0.8646331738437002,0.8732057416267942,0.8877591706539075,0.9415869218500797,0.9629186602870813,0.9794657097288676,0.9876395534290271,0.9906299840510366,0.9938197767145136,0.9938197767145136,0.9938197767145136,0.9938197767145136,0.9938197767145136
./instances/created-instances/mm-15-40-1917698.cdop,WS./settings/Memetic_MPX_1881515.config,15,40,0.7232243517474634,0.7416009019165727,0.7452085682074409,0.7452085682074409,0.7452085682074409,0.7579481397970688,0.7807215332581736,0.8343855693348365,0.8688838782412627,0.8688838782412627,0.8688838782412627,0.8688838782412627,0.8688838782412627,0.8688838782412627
./instances/created-instances/mm-10-25-1767920.cdop,WS./settings/Memetic-LS_MPX_1099666.config,10,25,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543,0.7087166692655543
./instances/created-instances/mm-25-25-1762875.cdop,WS./settings/Memetic-LS_MMX_1287823.config,25,25,0.5344054430184011,0.5344054430184011,0.5811040668006804,0.5964125560538116,0.6411009741765888,0.6533168393381784,0.6533168393381784,0.6658419669089222,0.7113035410545848,0.733879696922839,0.7488789237668162,0.7695995051801453,0.8124323488479975,0.8124323488479975
./instances/created-instances/mm-15-10-1767920.cdop,WS./settings/Memetic-LS_MMX_1881515.config,15,10,0.6769796624837733,0.6938554738208568,0.7081350064906967,0.7081350064906967,0.7081350064906967,0.7081350064906967,0.7157074859368239,0.7282561661618348,0.7901341410644742,0.8297273907399394,0.8466032020770229,0.8604500216356555,0.8838165296408481,0.8838165296408481
./instances/created-instances/mm-10-10-1891798.cdop,WS./settings/Memetic-LS_MPX_1881515.config,10,10,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7784156142365097,0.7838691159586682,0.8547646383467279,0.857060849598163,0.8662456946039035,0.8662456946039035
./instances/created-instances/mm-25-25-1762875.cdop,WS./settings/Memetic-LS_MMX_1099666.config,25,25,0.578629967527447,0.5906912014844595,0.5906912014844595,0.5906912014844595,0.5906912014844595,0.5906912014844595,0.6024431730323179,0.6298128962424617,0.6570279882480284,0.6910468532549868,0.7674346683160662,0.8020720581413329,0.8020720581413329,0.8020720581413329
./instances/created-instances/mm-5-10-1110588.cdop,WS./settings/Memetic_MMX_1881515.config,5,10,0.9750275431509364,0.9750275431509364,0.9801689313257437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./instances/created-instances/mm-10-40-1762875.cdop,WS./settings/Memetic-LS_MMX_1287823.config,10,40,0.548284219926011,0.548284219926011,0.548284219926011,0.6033932899604542,0.618828932261768,0.6226559510141599,0.6397499681081771,0.6553131777012374,0.6873325679295829,0.6903941829314963,0.701875239188672,0.701875239188672,0.7313432835820896,0.7313432835820896
./instances/created-instances/mm-10-10-1917698.cdop,WS./settings/Memetic_MMX_1099666.config,10,10,0.9448294981979485,0.9622955364568894,0.9758802328805101,0.982533961741059,0.982533961741059,0.982533961741059,0.9875242583864707,0.9875242583864707,0.9875242583864707,0.9875242583864707,0.9919600776268367,0.9925145550318825,1.0,1.0
./instances/created-instances/mm-5-25-1917698.cdop,WS./settings/Memetic-LS_MPX_1881515.config,5,25,0.7368021268515001,0.7368021268515001,0.7368021268515001,0.7368021268515001,0.7368021268515001,0.7368021268515001,0.7368021268515001,0.7368021268515001,0.7565514622104064,0.7652867451576149,0.8264337257880744,0.8889099886061527,0.8968856817318648,0.8968856817318648
