instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
mm-20-10,Memetic_MMX,20.0,10.0,4144.2,1003.7333333333333,199.73333333333332,199.73333333333332,200.73333333333332,15
mm-15-40,Memetic-LS_MMX,15.0,40.0,5288.733333333334,1003.0,720.7333333333333,720.7333333333333,721.7333333333333,15
mm-20-10,Memetic-LS_MMX,20.0,10.0,2820.133333333333,1001.1333333333333,2594.266666666667,2594.266666666667,2595.266666666667,15
mm-10-10,Memetic-LS_MMX,10.0,10.0,2789.266666666667,1001.0,3537.3333333333335,3537.3333333333335,3538.3333333333335,15
mm-5-25,Memetic_MPX,5.0,25.0,5046.666666666667,1002.6,192.93333333333334,192.93333333333334,193.93333333333334,15
mm-15-10,Memetic-LS_MPX,15.0,10.0,2865.0,1001.0666666666667,2145.266666666667,2145.266666666667,2146.266666666667,15
mm-25-25,Memetic_MPX,25.0,25.0,5072.066666666667,1006.6,101.0,101.0,102.0,15
mm-15-10,Memetic_MPX,15.0,10.0,3666.6666666666665,1002.4,282.1333333333333,282.1333333333333,283.1333333333333,15
mm-15-40,Memetic_MPX,15.0,40.0,6245.4,1012.2666666666667,67.93333333333334,67.93333333333334,68.93333333333334,15
mm-5-10,Memetic_MMX,5.0,10.0,2824.0666666666666,1001.4,642.1333333333333,642.1333333333333,643.1333333333333,15
mm-20-25,Memetic_MMX,20.0,25.0,5905.066666666667,1008.7333333333333,84.13333333333334,84.13333333333334,85.13333333333334,15
mm-10-25,Memetic-LS_MPX,10.0,25.0,4339.8,1001.4666666666667,1011.2,1011.2,1012.2,15
mm-20-25,Memetic_MPX,20.0,25.0,5154.8,1006.0,107.06666666666666,107.06666666666666,108.06666666666666,15
mm-10-40,Memetic-LS_MMX,10.0,40.0,5106.333333333333,1002.6666666666666,764.4,764.4,765.4,15
mm-25-10,Memetic_MPX,25.0,10.0,3887.0,1003.8666666666667,198.53333333333333,198.53333333333333,199.53333333333333,15
mm-15-40,Memetic-LS_MPX,15.0,40.0,5213.2,1002.0666666666667,584.8,584.8,585.8,15
mm-5-10,Memetic-LS_MMX,5.0,10.0,2518.4,1001.0,5546.0,5546.0,5547.0,15
mm-15-25,Memetic_MMX,15.0,25.0,5867.8,1006.4666666666667,96.86666666666666,96.86666666666666,97.86666666666666,15
mm-25-25,Memetic-LS_MMX,25.0,25.0,3307.3333333333335,1001.5333333333333,1213.9333333333334,1213.9333333333334,1214.9333333333334,15
mm-10-25,Memetic_MMX,10.0,25.0,5485.066666666667,1005.4666666666667,127.33333333333333,127.33333333333333,128.33333333333334,15
mm-10-40,Memetic_MMX,10.0,40.0,6638.133333333333,1010.2,70.46666666666667,70.46666666666667,71.46666666666667,15
mm-5-40,Memetic-LS_MMX,5.0,40.0,5543.133333333333,1001.6,676.3333333333334,676.3333333333334,677.3333333333334,15
mm-5-40,Memetic-LS_MPX,5.0,40.0,5532.933333333333,1002.4666666666667,584.4666666666667,584.4666666666667,585.4666666666667,15
mm-5-25,Memetic_MMX,5.0,25.0,5103.066666666667,1003.6666666666666,192.53333333333333,192.53333333333333,193.53333333333333,15
mm-15-25,Memetic-LS_MMX,15.0,25.0,4341.866666666667,1001.2666666666667,1251.5333333333333,1251.5333333333333,1252.5333333333333,15
mm-10-10,Memetic_MMX,10.0,10.0,3369.3333333333335,1002.4,358.53333333333336,358.53333333333336,359.53333333333336,15
mm-20-25,Memetic-LS_MMX,20.0,25.0,3766.866666666667,1001.4,1284.8,1284.8,1285.8,15
mm-10-25,Memetic-LS_MMX,10.0,25.0,4378.8,1001.2,1395.4666666666667,1395.4666666666667,1396.4666666666667,15
mm-5-25,Memetic-LS_MMX,5.0,25.0,4138.133333333333,1001.1333333333333,1545.2666666666667,1545.2666666666667,1546.2666666666667,15
