instance,settings,m,n,value,time,nIter,best_iter,improv_count
WS_mm-15-10-1767920,Memetic-LS_MMX_1881515,15,10,3991.0,1024001.0,2078568,2078568,2078569
WS_mm-10-10-1891798,Memetic-LS_MPX_1881515,10,10,3116.0,1024001.0,2263385,2263385,2263386
WS_mm-25-25-1762875,Memetic-LS_MMX_1099666,25,25,4820.0,1024001.0,946748,946748,946749
WS_mm-5-10-1110588,Memetic_MMX_1881515,5,10,2723.0,1024005.0,610801,610801,610802
WS_mm-10-40-1762875,Memetic-LS_MMX_1287823,10,40,5966.0,1024008.0,689120,689120,689121
WS_mm-10-10-1917698,Memetic_MMX_1099666,10,10,3584.0,1024003.0,356212,356212,356213
WS_mm-5-25-1917698,Memetic-LS_MPX_1881515,5,25,4821.0,1024001.0,1095233,1095233,1095234
WS_mm-20-10-1110588,Memetic_MMX_1881515,20,10,4220.0,1024001.0,210977,210977,210978
WS_mm-5-10-1110588,Memetic_MMX_1287823,5,10,2723.0,1024002.0,579098,579098,579099
WS_mm-25-10-1917698,Memetic-LS_MMX_1881515,25,10,4164.0,1024001.0,2059173,2059173,2059174
WS_mm-15-25-1110588,Memetic_MPX_1099666,15,25,6566.0,1024001.0,110145,110145,110146
WS_mm-15-25-1110588,Memetic-LS_MMX_1287823,15,25,6198.0,1024001.0,734781,734781,734782
WS_mm-25-10-1110588,Memetic-LS_MPX_1287823,25,10,2476.0,1024001.0,2189714,2189714,2189715
WS_mm-20-25-1762875,Memetic_MPX_1099666,20,25,5682.0,1024008.0,100529,100529,100530
WS_mm-20-25-1110588,Memetic_MMX_1881515,20,25,6509.0,1024004.0,80715,80715,80716
WS_mm-5-40-1110588,Memetic-LS_MPX_1099666,5,40,6739.0,1024001.0,674190,674190,674191
WS_mm-5-40-1762875,Memetic_MPX_1099666,5,40,6738.0,1024002.0,88338,88338,88339
WS_mm-15-10-1767920,Memetic_MPX_1099666,15,10,4291.0,1024005.0,232010,232010,232011
WS_mm-5-40-1762875,Memetic-LS_MPX_1881515,5,40,5622.0,1024006.0,599824,599824,599825
WS_mm-10-40-1110588,Memetic_MMX_1881515,10,40,7574.0,1024004.0,80364,80364,80365
WS_mm-5-40-1917698,Memetic-LS_MMX_1099666,5,40,6570.0,1024002.0,589595,589595,589596
WS_mm-20-25-1917698,Memetic_MPX_1287823,20,25,5385.0,1024002.0,113583,113583,113584
WS_mm-15-10-1917698,Memetic_MPX_1881515,15,10,3835.0,1024002.0,258775,258775,258776
WS_mm-20-10-1891798,Memetic-LS_MPX_1881515,20,10,2381.0,1024001.0,2447182,2447182,2447183
WS_mm-5-40-1762875,Memetic-LS_MMX_1881515,5,40,5999.0,1024001.0,767485,767485,767486
WS_mm-10-10-1917698,Memetic-LS_MPX_1881515,10,10,3236.0,1024001.0,1627188,1627188,1627189
WS_mm-20-25-1891798,Memetic_MMX_1287823,20,25,6459.0,512001.0,43702,43702,43701
WS_mm-15-40-1891798,Memetic_MMX_1881515,15,40,7506.0,512011.0,29239,29239,29238
WS_mm-5-40-1917698,Memetic-LS_MMX_1287823,5,40,6438.0,1024002.0,735072,735072,735073
WS_mm-5-40-1767920,Memetic-LS_MPX_1099666,5,40,6291.0,1024003.0,484346,484346,484347
WS_mm-15-25-1917698,Memetic_MPX_1881515,15,25,6014.0,1024007.0,112646,112646,112647
WS_mm-5-25-1891798,Memetic-LS_MMX_1881515,5,25,4590.0,1024001.0,1391450,1391450,1391451
WS_mm-15-10-1767920,Memetic-LS_MPX_1099666,15,10,2956.0,1024001.0,2697167,2697167,2697168
WS_mm-5-25-1762875,Memetic-LS_MPX_1287823,5,25,5330.0,1024001.0,1018310,1018310,1018311
WS_mm-15-25-1762875,Memetic-LS_MMX_1287823,15,25,5553.0,1024001.0,902130,902130,902131
WS_mm-25-10-1891798,Memetic_MPX_1881515,25,10,4524.0,1024003.0,192137,192137,192138
WS_mm-10-10-1762875,Memetic-LS_MMX_1099666,10,10,2771.0,1024001.0,3998529,3998529,3998530
WS_mm-15-10-1917698,Memetic_MPX_1287823,15,10,3834.0,1024003.0,272868,272868,272869
WS_mm-25-25-1767920,Memetic_MPX_1287823,25,25,5944.0,1024009.0,83105,83105,83106
WS_mm-25-10-1767920,Memetic_MPX_1287823,25,10,3951.0,1024003.0,192233,192233,192234
WS_mm-15-25-1917698,Memetic-LS_MPX_1099666,15,25,3653.0,1024001.0,1419423,1419423,1419424
WS_mm-20-10-1762875,Memetic_MMX_1099666,20,10,4476.0,1024007.0,177201,177201,177202
WS_mm-15-10-1762875,Memetic_MPX_1881515,15,10,3643.0,1024001.0,290778,290778,290779
WS_mm-25-25-1767920,Memetic_MMX_1099666,25,25,7264.0,1024022.0,68221,68221,68222
WS_mm-25-25-1762875,Memetic_MPX_1881515,25,25,5275.0,1024021.0,116314,116314,116315
WS_mm-25-10-1917698,Memetic-LS_MMX_1099666,25,10,3865.0,1024001.0,2099287,2099287,2099288
WS_mm-5-25-1767920,Memetic_MMX_1287823,5,25,5558.0,64002.0,10005,10005,10004
WS_mm-10-25-1110588,Memetic_MPX_1881515,10,25,5601.0,1024004.0,144125,144125,144126
WS_mm-20-10-1917698,Memetic_MPX_1287823,20,10,3667.0,1024003.0,261033,261033,261034
WS_mm-15-40-1917698,Memetic_MMX_1287823,15,40,8552.0,1024004.0,42548,42548,42549
WS_mm-5-25-1917698,Memetic_MMX_1099666,5,25,5193.0,512001.0,81796,81796,81795
WS_mm-10-10-1891798,Memetic_MPX_1881515,10,10,3387.0,1024001.0,388574,388574,388575
WS_mm-10-10-1110588,Memetic_MMX_1099666,10,10,3448.0,64003.0,21999,21999,21998
WS_mm-10-10-1110588,Memetic_MPX_1099666,10,10,3373.0,1024003.0,407431,407431,407432
WS_mm-25-25-1762875,Memetic_MMX_1287823,25,25,6418.0,1024001.0,79548,79548,79549
WS_mm-20-10-1110588,Memetic_MPX_1099666,20,10,3891.0,1024004.0,300014,300014,300015
