instance,setting,m,n,0.25s,0.5s,1.0s,2.0s,4.0s,8.0s,16.0s,32.0s,64.0s,128.0s,256.0s,512.0s,1024.0s,2048.0s
./instances/created-instances/mm-20-10-1110588.cdop,./settings/Memetic_MMX_1287823.config,20,10,0.8708245736977341,0.904461574398505,0.9086661994861014,0.9287549637935062,0.9588881102546134,0.9813127773884607,0.9813127773884607,0.9841158607801915,0.9885540761504321,0.9885540761504321,0.9918243401074516,1.0,1.0,1.0
./instances/created-instances/mm-15-40-1917698.cdop,./settings/Memetic-LS_MMX_1099666.config,15,40,0.41576396807297605,0.4263112884834664,0.46336944127708096,0.5182440136830102,0.5293614595210946,0.6432440136830102,0.6636259977194983,0.7289053591790193,0.7776510832383124,0.8516248574686431,0.9455530216647663,0.9756271379703535,1.0,1.0
./instances/created-instances/mm-20-10-1767920.cdop,./settings/Memetic-LS_MMX_1287823.config,20,10,0.5015112764473378,0.5145315043013253,0.5412694722157638,0.5826551964659381,0.6210183678214368,0.6324110671936759,0.70657986514764,0.7716810044175773,0.8923506161357824,0.9188560799813996,0.9541966984422228,0.9630318530574286,1.0,1.0
./instances/created-instances/mm-10-10-1891798.cdop,./settings/Memetic-LS_MMX_1881515.config,10,10,0.620229599751784,0.6763884579584238,0.7257213775985107,0.7722618678250077,0.7936704933291964,0.8228358672044679,0.8358672044678871,0.9205708966801117,0.9444616816630469,0.9668011169717654,0.9838659633881477,0.9993794601303134,1.0,1.0
./instances/created-instances/mm-5-25-1891798.cdop,./settings/Memetic_MPX_1099666.config,5,25,0.9034334763948498,0.9194303550526727,0.9194303550526727,0.9582520483808038,0.9761997658993368,0.9761997658993368,0.9824424502536091,0.9978540772532188,0.9978540772532188,1.0,1.0,1.0,1.0,1.0
./instances/created-instances/mm-15-10-1767920.cdop,./settings/Memetic-LS_MPX_1881515.config,15,10,0.6367025683512841,0.6367025683512841,0.6470588235294118,0.820215410107705,0.8206296603148302,0.8322286661143331,0.8554266777133389,0.8893951946975973,0.8893951946975973,0.9627174813587407,0.9627174813587407,0.9697597348798674,1.0,1.0
./instances/created-instances/mm-25-25-1767920.cdop,./settings/Memetic_MPX_1287823.config,25,25,0.24190147594402914,0.24190147594402914,0.6651332183247077,0.6651332183247077,0.7212957638489553,0.7600153344834196,0.7600153344834196,0.8640981406938854,0.8640981406938854,0.8489553383170404,0.9419206440483037,0.9555299980831896,1.0,1.0
./instances/created-instances/mm-15-10-1767920.cdop,./settings/Memetic_MPX_1287823.config,15,10,0.825384997516145,0.825384997516145,0.9267262791852956,0.9267262791852956,0.9267262791852956,0.9267262791852956,0.9267262791852956,0.9689518132141083,0.9689518132141083,0.9689518132141083,0.9689518132141083,0.9689518132141083,1.0,1.0
./instances/created-instances/mm-15-40-1767920.cdop,./settings/Memetic_MPX_1287823.config,15,40,0.4106145251396648,0.4106145251396648,0.6461824953445066,0.8106765983860956,0.8778708876474239,0.8778708876474239,0.8778708876474239,0.8778708876474239,0.856455617628802,0.9418063314711359,0.9418063314711359,1.0,1.0,1.0
./instances/created-instances/mm-20-10-1917698.cdop,./settings/Memetic_MMX_1287823.config,20,10,0.9318236569501325,0.9390508311250301,0.9583232955914237,0.9583232955914237,0.9597687304264033,0.9715731149120694,0.9730185497470489,0.9812093471452662,0.9812093471452662,0.981932064562756,0.9985545651650205,0.9985545651650205,1.0,1.0
